year,inflow_rate,exit_rate,avg_days_homeless
2016,203.60603345310133,216.8817639964104,125.46031746031747
2017,201.43943118745614,217.59548982482994,118.87599206349206
2018,202.53784343636488,219.843197083708,114.3859126984127
2019,189.77643689626197,216.91215463960583,121.17063492063491
2020,152.34452946253893,175.9805834911213,129.6170634920635
2021,201.29024310743074,205.60232058702397,94.66369047619048
2022,219.64246857273292,242.68832250206697,88.21249999999999
2023,203.58775052147092,228.30648425657893,83.48234126984127
