year,inflow,exits,exits_perm,avg_days_homeless,median_days_homeless
2016,832459.0,916831.0,379095.0,121.63711543695096,52.62344114219114
2017,813043.0,870829.0,361260.0,139.54695306520964,52.439562423444
2018,806287.0,883094.0,368776.0,115.86149434751408,58.55522934667671
2019,775191.0,887171.0,362079.0,107.72592037592038,52.91412197086539
2020,672162.0,774410.0,310003.0,114.75841032748927,57.700983379437325
2021,693620.0,728979.0,275017.0,110.5351365070115,51.37610350176139
2022,868515.0,874836.0,297251.0,107.34059674426452,50.46550368186881
2023,954786.0,964516.0,312532.0,109.56014210935263,52.67256293901031
