year,inflow_rate,exit_rate,avg_days_homeless
2016,295.2737964205951,316.42824297589397,120.94198779633888
2017,289.6455426912298,308.62180662539913,143.30530961097648
2018,265.4439578954145,294.0917056064721,116.12978192007796
2019,253.38554923542705,293.0958400967312,105.28142682233592
2020,229.24917466219293,263.8179024670727,112.05683702483942
2021,239.82630088559628,249.56064859241343,113.42085396716078
2022,276.68226598626933,281.1417762457738,110.81843251594897
2023,298.354573150199,296.7681594590245,114.30156044380925
