state_dropped,coef,se,pval,ci_lower,ci_upper,nobs,r2_within,full_sample_coef,full_sample_se,full_sample_pval,full_sample_ci_lower,full_sample_ci_upper,coef_change,abs_coef_change,sign_flip,policy,outcome
AK,-0.04814343984744999,0.029122986007837855,0.09921590801382285,-0.10522449242281218,0.008937612727912207,407,0.01458441572814062,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0017596243279509663,0.0017596243279509663,False,overall_days,median_days_homeless
AL,-0.04701196539045719,0.029139930332100574,0.10758713485822113,-0.10412622884137432,0.010102298060459931,407,0.012855739211735218,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0006281498709581682,0.0006281498709581682,False,overall_days,median_days_homeless
AR,-0.027449978897945503,0.01991431336222679,0.16896905069219348,-0.06648203308791001,0.011582075292019003,407,-0.003466105603042946,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.01893383662155352,0.01893383662155352,False,overall_days,median_days_homeless
AZ,-0.046953665283110575,0.029063423529891254,0.10710120329856854,-0.10391797540169743,0.010010644835476284,407,0.013831148164974993,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0005698497636115532,0.0005698497636115532,False,overall_days,median_days_homeless
CA,-0.04684973409282718,0.030348248779982726,0.12356599076335262,-0.10633230170159333,0.012632833515938961,407,0.012442498937285995,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.00046591857332815845,0.00046591857332815845,False,overall_days,median_days_homeless
CO,-0.051039459417397744,0.02877990044421458,0.07703520981740875,-0.10744806428805831,0.005369145453262829,407,0.015394857073701695,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.004655643897898722,0.004655643897898722,False,overall_days,median_days_homeless
CT,-0.04675551614651591,0.029183802463914565,0.11004490545461132,-0.10395576897578845,0.010444736682756639,407,0.013712297991989697,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.00037170062701688544,0.00037170062701688544,False,overall_days,median_days_homeless
DC,-0.04500539012180395,0.0315806334513238,0.15503126998221317,-0.1069034316863986,0.0168926514427907,407,0.011792844223834087,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.0013784253976950739,0.0013784253976950739,False,overall_days,median_days_homeless
DE,-0.044709582420875686,0.028958140408299853,0.12351736906409405,-0.1014675376211434,0.012048372779392025,407,0.012890176874381098,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.0016742330986233359,0.0016742330986233359,False,overall_days,median_days_homeless
FL,-0.04728784638180217,0.029160021508454884,0.10578550918691088,-0.10444148853837373,0.009865795774769405,407,0.012514082282515937,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0009040308623031457,0.0009040308623031457,False,overall_days,median_days_homeless
GA,-0.04723693013107246,0.029383280402784127,0.10883216790792094,-0.10482815972052935,0.010354299458384425,407,0.013603412635819434,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0008531146115734398,0.0008531146115734398,False,overall_days,median_days_homeless
HI,-0.046211041613910486,0.028874373995297672,0.11041871833640315,-0.10280481464469393,0.010382731416872952,407,0.013548095834871376,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.00017277390558853578,0.00017277390558853578,False,overall_days,median_days_homeless
IA,-0.04616747479504233,0.02896239976151207,0.11183816958753567,-0.10293377832760597,0.01059882873752132,407,0.013405647333494364,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.00021634072445669145,0.00021634072445669145,False,overall_days,median_days_homeless
ID,-0.04577504285284033,0.0290245072197384,0.1156824263677807,-0.10266307700352759,0.01111299129784693,407,0.012884983469770628,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.000608772666658694,0.000608772666658694,False,overall_days,median_days_homeless
IL,-0.0482844190659478,0.029948903286160213,0.10782436093508507,-0.10698426950682181,0.010415431374926218,407,0.013684899993608002,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0019006035464487758,0.0019006035464487758,False,overall_days,median_days_homeless
IN,-0.045655867778829684,0.02884577198533079,0.11439030223496505,-0.10219358087007803,0.010881845312418661,407,0.013507080571956376,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.000727947740669338,0.000727947740669338,False,overall_days,median_days_homeless
KS,-0.03226736035939898,0.023934167921296226,0.17848517498913785,-0.07917832948513959,0.014643608766341625,407,0.010173937523685006,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.014116455160100044,0.014116455160100044,False,overall_days,median_days_homeless
KY,-0.04730593868738618,0.02890139752718817,0.10258050056111623,-0.103952677840675,0.009340800465902632,407,0.013661378079135256,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0009221231678871594,0.0009221231678871594,False,overall_days,median_days_homeless
LA,-0.0442389021638178,0.02912772162656939,0.12972847396860043,-0.1013292365518938,0.012851432224258198,407,0.012840241896834526,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.002144913355681219,0.002144913355681219,False,overall_days,median_days_homeless
MA,-0.05151083258534582,0.030698500541708154,0.09425803075755912,-0.1116798936470938,0.008658228476402158,407,0.016755816684659974,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.005127017065846798,0.005127017065846798,False,overall_days,median_days_homeless
MD,-0.04702927184642727,0.029714825415647978,0.11440639670767583,-0.10527032966109731,0.011211785968242766,407,0.01391880354102304,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,-0.0006454563269282509,0.0006454563269282509,False,overall_days,median_days_homeless
ME,-0.045241884849406847,0.028996720842300847,0.11961700287700539,-0.10207545770031651,0.011591688001502815,407,0.012918993539233203,-0.04638381551949902,0.02888905388435055,0.10925942311080528,-0.1030063611328261,0.010238730093828051,0.0011419306700921755,0.0011419306700921755,False,overall_days,median_days_homeless
